person_code,committee_code,country_code
S01-DEL-001,GA,AFG
S01-DEL-002,GA,BHR
S01-DEL-003,GA,BOL
S01-DEL-004,GA,TCD
S01-DEL-005,GA,DEU
S01-DEL-006,GA,LAO
S01-DEL-007,GA,POL
S01-DEL-008,GA,TZA
S01-DEL-009,UNODC,ITA
S01-DEL-010,UNODC,MAR
S01-DEL-011,UNODC,LBY
S01-DEL-012,UNODC,AFG
S01-DEL-013,UNODC,DZA
S01-DEL-014,UNODC,COL
S01-DEL-015,UNODC,ISR
S01-DEL-016,DISC,DNK
S01-DEL-017,DISC,FIN
S01-DEL-018,DISC,BRA
S01-DEL-019,DISC,BEL
S01-DEL-020,DISC,ERI
S01-DEL-021,DISC,PAK
S01-DEL-022,DISC,LBN
S01-DEL-023,HRC,MMR
S01-DEL-024,HRC,CAN
S01-DEL-025,HRC,IDN
S02-DEL-001,GA,MMR
S02-DEL-002,GA,MNG
S02-DEL-003,GA,LBY
S02-DEL-004,GA,PRK
S02-DEL-005,GA,GRC
S02-DEL-006,UNODC,ESP
S02-DEL-007,UNODC,BOL
S02-DEL-008,UNODC,CHE
S02-DEL-009,HRC,DNK
S02-DEL-010,HRC,JOR
S02-DEL-011,HRC,SDN
S03-DEL-001,GA,ARE
S03-DEL-002,GA,UKR
S03-DEL-003,GA,FRA
S03-DEL-004,GA,RWA
S03-DEL-005,GA,DZA
S03-DEL-006,GA,PSE
S03-DEL-007,GA,MAR
S03-DEL-008,GA,MYS
S03-DEL-009,GA,LTU
S03-DEL-010,GA,KOR
S03-DEL-011,GA,IRN
S03-DEL-012,GA,DNK
S03-DEL-013,GA,CHN
S03-DEL-014,UNODC,LBN
S03-DEL-015,UNODC,IRL
S03-DEL-016,UNODC,UZB
S03-DEL-017,UNODC,DJI
S03-DEL-018,UNODC,SOM
S03-DEL-019,UNODC,THA
S03-DEL-020,UNODC,IND
S03-DEL-021,UNODC,IRN
S03-DEL-022,UNODC,DEU
S03-DEL-023,UNODC,PAK
S03-DEL-024,UNODC,MEX
S03-DEL-025,UNODC,KEN
S03-DEL-026,DISC,SSD
S03-DEL-027,DISC,GBR
